dataType,dateAdded,documentType,fieldKey,id,isAllowedCustomOption,isMultiFileAllowed,locationId,maxFileLimit,model,name,parentId,picklistOptions,placeholder,position,prefill,standard
MULTIPLE_OPTIONS,2024-12-19T22:28:19.527Z,field,contact.import_from_preexisting_buy_local,phR9Pd7hsBMMtEnO3nQP,,,78wsQgsv80W793JIIrOA,,contact,Import From Pre-Existing Buy Local ,6kfTqp6ZK7pirHHkaqgu,"[""Auckland Buy Local"", ""Wellington Buy Local"", ""Christchurch Buy Local"", ""Tauranga Buy Local"", ""BuyLocalNZ Pre-Existing""]",,425,,False
RADIO,2024-04-02T14:25:44.695Z,field,contact.can_your_staff_send_text_message_to_leads_from_a_business_number_without_using_a_personal_phone,hz833ZTpxJXbXMPuNZrx,False,,78wsQgsv80W793JIIrOA,,contact,Can your staff send text message to leads from a business number without using a personal phone?,B8FHpH7Jl3KgURBYo3l4,"[""Yes"", ""No""]",,450,,False
TEXT,2024-04-02T20:38:03.224Z,field,contact.promo_video_url,8kj727p5vOiXDhQ8WK8N,,,78wsQgsv80W793JIIrOA,,contact,Video URL,lR2TeiwKnqTXmyGbhvK8,,Enter Promo Video URL,450,,False
RADIO,2024-11-12T16:03:16.709Z,field,contact.gender,U5ssAqAoN0ITEmiBrqxA,False,,78wsQgsv80W793JIIrOA,,contact,Gender,KoVFjsZgZkNlJvtkACgi,"[""Male"", ""Female""]",,450,,False
TEXT,2024-12-19T22:38:31.662Z,field,contact.pre_existing_tags,8PNnv8g8gFU0tYGwOehz,,,78wsQgsv80W793JIIrOA,,contact,Pre Existing Tags,6kfTqp6ZK7pirHHkaqgu,,,450,,False
LARGE_TEXT,2025-02-05T10:16:24.029Z,field,contact.video_script__all,H4C3bCR6roZULFxwj4ZT,,,78wsQgsv80W793JIIrOA,,contact,Video Script - GPT Input,0xIWHIwgfoUegQhZN90Q,,,450,,False
TEXT,2024-04-08T16:17:57.358Z,field,contact.loom_audit,0c2QP3jSHlRiyxpvleY9,,,78wsQgsv80W793JIIrOA,,contact,Loom Audit Link,B8FHpH7Jl3KgURBYo3l4,,,500,,False
RADIO,2025-02-12T04:32:32.897Z,field,contact.blog_preferred_contact,f3DbsfZgICS4bbe9s0BV,False,,78wsQgsv80W793JIIrOA,,contact,Blog Preferred Contact,0xIWHIwgfoUegQhZN90Q,"[""Phone"", ""Email"", ""Visit Website"", ""Visit Location""]",,500,,False
RADIO,2025-04-06T00:46:16.518Z,field,contact.video__approval,lU0sPll3zuVMOfaklcRa,False,,78wsQgsv80W793JIIrOA,,contact,Video - Approval,lR2TeiwKnqTXmyGbhvK8,"[""Not Approved"", ""Approved"", ""Re-Do""]",,500,,False
TEXT,2024-11-12T16:03:16.632Z,field,contact.your_business_trading_name,qhWXI7t0NAZlDu3EELNT,,,78wsQgsv80W793JIIrOA,,contact,Your Business Trading Name,B8FHpH7Jl3KgURBYo3l4,,Your Business Trading Name,550,,False
LARGE_TEXT,2025-04-21T06:37:11.575Z,field,contact.social_media_prompt,GeyT9xgKMmmS10WgHqCJ,,,78wsQgsv80W793JIIrOA,,contact,Social Media Prompt,lR2TeiwKnqTXmyGbhvK8,,,550,,False
TEXT,2024-04-08T16:17:57.353Z,field,contact.local_analyzer_audit_link,rKpULiSwp0Hwkh1dkWpu,,,78wsQgsv80W793JIIrOA,,contact,Local Analyzer Audit Link,B8FHpH7Jl3KgURBYo3l4,,Enter LA Audit Link,600,,False
RADIO,2025-04-21T06:38:07.054Z,field,contact.social_media_approval,SBpBaCpj5jPoG6ouyqpl,False,,78wsQgsv80W793JIIrOA,,contact,Social Media Approval,lR2TeiwKnqTXmyGbhvK8,"[""Not Approved"", ""Approved"", ""Re-Do""]",,600,,False
FILE_UPLOAD,2025-01-21T17:10:46.401Z,field,contact.image_5,0EKkK4QI4fJFq1yIKish,,,78wsQgsv80W793JIIrOA,,contact,Image 5,B8FHpH7Jl3KgURBYo3l4,"["".png"", "".jpeg"", "".jpg""]",,650,,False
LARGE_TEXT,2024-04-02T14:25:44.675Z,field,contact.topic_for_call,3A2Vm7CXU8tyuUjk9Jxg,,,78wsQgsv80W793JIIrOA,,contact,Topic for call,B8FHpH7Jl3KgURBYo3l4,,What will we talk about?,700,,False
TEXT,2025-01-21T17:10:09.726Z,field,contact.time_zone,3hW34PvytepMBM5E44sT,,,78wsQgsv80W793JIIrOA,,contact,Time Zone,B8FHpH7Jl3KgURBYo3l4,,,750,,False
TEXT,2025-01-21T17:10:09.727Z,field,contact.wait_time_before_responding,5mUUBUmYB5rCIxb5aXOc,,,78wsQgsv80W793JIIrOA,,contact,Wait Time Before Responding?,B8FHpH7Jl3KgURBYo3l4,,,800,,False
TEXT,2025-01-21T17:10:46.393Z,field,contact.company_description,5t2HCF2h9NhKXdvaIxYk,,,78wsQgsv80W793JIIrOA,,contact,Company Description,B8FHpH7Jl3KgURBYo3l4,,Please tell us about your company - A good reference for this is your Google Business Profile - Description?,850,,False
TEXT,2024-04-02T20:38:03.397Z,field,contact.linkedin_business_page,bqDXw2U71O9gNDfWwVYQ,,,78wsQgsv80W793JIIrOA,,contact,LinkedIn Business Page,1DfqdWAAeM5siJ7Pbuud,,LinkedIn Business Page URL,853.125,,False
TEXT,2024-04-02T20:38:03.402Z,field,contact.facebook_business_page,l1mwhfPmFchaBlL0Migr,,,78wsQgsv80W793JIIrOA,,contact,Facebook Business Page,1DfqdWAAeM5siJ7Pbuud,,Facebook Business Page URL,857.8125,,False
TEXT,2024-04-02T20:38:03.377Z,field,contact.instagram_business_page,lHOA1EXQD3iKDqeDYJov,,,78wsQgsv80W793JIIrOA,,contact,Instagram Business Page,1DfqdWAAeM5siJ7Pbuud,,Instagram Business Page URL,862.5,,False
TEXT,2024-04-02T20:38:03.399Z,field,contact.twitter_business_page,BFZrT1X3JlcBCPKmzvhs,,,78wsQgsv80W793JIIrOA,,contact,X / Twitter Business Page,1DfqdWAAeM5siJ7Pbuud,,Twitter Business Page URL,875,,False
TEXT,2025-02-17T00:24:09.419Z,field,contact.youtube_channel,CiBv3u9GilyIB10YI9Me,,,78wsQgsv80W793JIIrOA,,contact,YouTube Channel,1DfqdWAAeM5siJ7Pbuud,,,881.25,YouTube Channel,False
TEXT,2025-02-17T00:24:32.523Z,field,contact.tiktok_page,j0rPWaUDGX1ieKxfG2tb,,,78wsQgsv80W793JIIrOA,,contact,TikTok Page,1DfqdWAAeM5siJ7Pbuud,,,884.375,TikTok Page,False
LARGE_TEXT,2025-02-12T05:25:47.234Z,field,contact.other_social_media_links,MjyWlBwQgoPt54W4wabF,,,78wsQgsv80W793JIIrOA,,contact,Other Social Media Links,1DfqdWAAeM5siJ7Pbuud,,,887.5,Other Social Media Links,False
LARGE_TEXT,2024-04-02T20:38:03.260Z,field,contact.additional_info,16joIBI68XB6wv5TY8nU,,,78wsQgsv80W793JIIrOA,,contact,Additional Info,1DfqdWAAeM5siJ7Pbuud,,,900,,False
TEXT,2024-12-19T22:24:09.053Z,field,contact.created,OJjLeusnN7BA4EOodrY1,,,78wsQgsv80W793JIIrOA,,contact,Created,KoVFjsZgZkNlJvtkACgi,,,900,,False
TEXT,2025-01-21T17:10:09.731Z,field,contact.is_parking_available_at_your_location,6uZgelA0p4mPUjN0IOGN,,,78wsQgsv80W793JIIrOA,,contact,Is parking available at your location?,B8FHpH7Jl3KgURBYo3l4,,,900,,False
FILE_UPLOAD,2025-01-21T17:10:46.400Z,field,contact.image_3,7qQd65MP393vTzgH1xE8,,,78wsQgsv80W793JIIrOA,,contact,Image 3,B8FHpH7Jl3KgURBYo3l4,"["".png"", "".jpeg"", "".jpg""]",,950,,False
PHONE,2025-02-16T03:38:23.752Z,field,contact.business_phone,fYgZzSg0pZNNu97vvWT0,,,78wsQgsv80W793JIIrOA,,contact,Business Phone,KoVFjsZgZkNlJvtkACgi,,,950,,False
MULTIPLE_OPTIONS,2025-01-21T17:10:09.726Z,field,contact.what_kind_of_style_and_tone_do_you_want_for_your_chat_bot,B4HSKjWixdOjq7yTlo5R,,,78wsQgsv80W793JIIrOA,,contact,What kind of style and tone do you want for your chat bot?,B8FHpH7Jl3KgURBYo3l4,"[""Professional and Formal"", ""Friendly and Conversational"", ""Fun and Engaging""]",,1000,,False
LARGE_TEXT,2025-01-21T17:10:09.725Z,field,contact.business_address_full,BU1aCFDcLoa8FHXei4Lo,,,78wsQgsv80W793JIIrOA,,contact,Business Address (Full),B8FHpH7Jl3KgURBYo3l4,,"#, Street/Road, Suburb, City, State/Region, Country, Post/Zip Code",1050,,False
LARGE_TEXT,2024-04-02T14:25:44.681Z,field,contact.query,CDKrPk0ruQARO2oLJlQW,,,78wsQgsv80W793JIIrOA,,contact,Query,B8FHpH7Jl3KgURBYo3l4,,Write your Message,1100,,False
RADIO,2024-04-02T14:25:44.707Z,field,contact.lead_automation,aTVDlmZlCa8zCDl25PYP,False,,78wsQgsv80W793JIIrOA,,contact,Lead Automation,B8FHpH7Jl3KgURBYo3l4,"[""Yes"", ""No""]",,1150,,False
PHONE,2025-01-21T17:10:09.725Z,field,contact.business_number_primary,aVnPYjrS30myDz65d5wO,,,78wsQgsv80W793JIIrOA,,contact,Business Number (Primary),B8FHpH7Jl3KgURBYo3l4,,Contact Number,1200,,False
TEXT,2025-01-21T17:10:46.395Z,field,contact.owner_spokesperson_name,acH0M1gnIAy99RNb681n,,,78wsQgsv80W793JIIrOA,,contact,Owner/spokesperson name,B8FHpH7Jl3KgURBYo3l4,,The Person with which the business is referenced online,1250,,False
RADIO,2025-01-21T17:10:09.728Z,field,contact.do_you_have_an_online_booking_system,c80KpKf01OkuIoQwW0Xv,,,78wsQgsv80W793JIIrOA,,contact,Do you have an online Booking system?,B8FHpH7Jl3KgURBYo3l4,"[""Yes"", ""No""]",,1300,,False
RADIO,2024-04-02T14:25:44.684Z,field,contact.are_you_interested_in_implementing_any_of_the_things_you_responded_no_to_for_your_business,d9g6H2ODXd2XYkWVltak,False,,78wsQgsv80W793JIIrOA,,contact,Are you interested in implementing any of the things you responded 'No' to for your business?,B8FHpH7Jl3KgURBYo3l4,"[""Yes"", ""No""]",,1350,,False
TEXT,2024-04-02T14:25:44.709Z,field,contact.if_yes_approximately_how_many_new_leads_do_you_generate_each_month,dWkG9ixq0nD6X9oMgW15,,,78wsQgsv80W793JIIrOA,,contact,"If yes, approximately how many new leads do you generate each month? ",B8FHpH7Jl3KgURBYo3l4,,"If yes, approximately how many new leads do you generate each month? ",1400,,False
TEXT,2025-01-21T17:10:09.729Z,field,contact.if_yes_please_provide_link_to_booking_calendar_here,iR7wVTQ9VoKH8vq76KuD,,,78wsQgsv80W793JIIrOA,,contact,"If Yes, Please provide link to booking calendar here:",B8FHpH7Jl3KgURBYo3l4,,Booking Link,1450,,False
FILE_UPLOAD,2025-01-21T17:10:46.399Z,field,contact.image_2,lIJ2bEccso95YorkEklR,,,78wsQgsv80W793JIIrOA,,contact,Image 2,B8FHpH7Jl3KgURBYo3l4,"["".png"", "".jpeg"", "".jpg""]",,1500,,False
RADIO,2024-04-02T14:25:44.682Z,field,contact.are_you_currently_generating_a_steady_flow_of_new_leads_each_month,lMbZt6XwmJZ5spgakNjw,False,,78wsQgsv80W793JIIrOA,,contact,Are you currently generating a steady flow of new leads each month? ,B8FHpH7Jl3KgURBYo3l4,"[""Yes"", ""No""]",Are you currently generating a steady flow of new leads each month? ,1550,,False
TEXT,2025-01-21T17:10:46.395Z,field,contact.company_email_address,m6MqGJBXbbPjpkiQ576y,,,78wsQgsv80W793JIIrOA,,contact,Company email address,B8FHpH7Jl3KgURBYo3l4,,Customer Contact Email To be Listed,1600,,False
TEXTBOX_LIST,2025-01-21T17:10:46.394Z,field,contact.main_products__services_offered,nU7vs4vkvM4NES5s2yzS,,,78wsQgsv80W793JIIrOA,,contact,"Main products & services offered(Categories, Main Groups)",B8FHpH7Jl3KgURBYo3l4,"[{""id"": ""020ccc34-6839-46e2-9617-a9853a605277"", ""label"": ""1. "", ""prefillValue"": ""(Categories, Main Groups)""}, {""id"": ""79aebf59-bc6e-46ae-9b79-7e702c445766"", ""label"": ""2. "", ""prefillValue"": ""(Categories, Main Groups)""}, {""id"": ""e729688a-a141-4a7d-8711-9a95b2d2cafa"", ""label"": ""3."", ""prefillValue"": ""(Categories, Main Groups)""}, {""id"": ""46e01a79-59dd-49db-b587-9ed53cbc2191"", ""label"": ""4."", ""prefillValue"": ""(Categories, Main Groups)""}, {""id"": ""a135020b-9d5f-4541-aff7-977479b773c1"", ""label"": ""5."", ""prefillValue"": ""(Categories, Main Groups)""}, {""id"": ""6fb15af7-645d-423a-b134-d977886f02ba"", ""label"": ""6."", ""prefillValue"": ""(Categories, Main Groups)""}]",,1650,,False
